	2018-01-01	11	-2	4.5	-26.4	60	0	T	T	2
	2018-01-02	10	-4	3.0	-27.7	62	0	T	T	2
	2018-01-03	22	-3	9.5	-21.1	55	0	T	T	1
	2018-01-04	17	11	14.0	-16.4	51	0	0.02	0.7	1
	2018-01-05	13	3	8.0	-22.3	57	0	T	T	2
	2018-01-06	17	0	8.5	-21.6	56	0	T	T	2
	2018-01-07	32	-2	15.0	-15.0	50	0	0.00	0.0	1
	2018-01-08	36	32	34.0	4.1	31	0	0.20	0.7	1
	2018-01-09	38	29	33.5	3.8	31	0	0.00	0.0	1
	2018-01-10	57	29	43.0	13.4	22	0	T	T	T
	2018-01-11	60	52	56.0	26.5	9	0	0.24	0.0	0
	2018-01-12	59	20	39.5	10.1	25	0	0.66	3.5	0
	2018-01-13	20	10	15.0	-14.3	50	0	0.06	1.1	4
	2018-01-14	18	1	9.5	-19.8	55	0	T	T	2
	2018-01-15	28	13	20.5	-8.7	44	0	0.26	3.2	3
	2018-01-16	27	6	16.5	-12.7	48	0	0.03	0.7	5
	2018-01-17	14	7	10.5	-18.6	54	0	T	0.1	5
	2018-01-18	28	7	17.5	-11.6	47	0	0.00	0.0	4
	2018-01-19	38	17	27.5	-1.5	37	0	0.00	0.0	3
	2018-01-20	44	29	36.5	7.5	28	0	T	0.0	3
	2018-01-21	50	39	44.5	15.5	20	0	0.05	0.0	0
	2018-01-22	60	47	53.5	24.5	11	0	0.33	0.0	0
	2018-01-23	50	33	41.5	12.4	23	0	0.02	T	0
	2018-01-24	33	30	31.5	2.4	33	0	0.01	0.3	0
	2018-01-25	39	29	34.0	4.9	31	0	T	T	T
	2018-01-26	56	31	43.5	14.3	21	0	0.00	0.0	0
	2018-01-27	50	41	45.5	16.3	19	0	0.50	0.0	0
	2018-01-28	51	30	40.5	11.2	24	0	0.00	0.0	0
	2018-01-29	41	23	32.0	2.6	33	0	0.01	0.2	0
	2018-01-30	29	17	23.0	-6.5	42	0	T	T	T
	2018-01-31	48	23	35.5	5.9	29	0	0.00	T	0
	Sum	1096	598	-	-	1158	0	2.39	10.5	-
	Average	35.4	19.3	27.3	-2.3	-	-	-	-	1.4
	Normal	37.1	22.0	29.6	-	1099	0	3.00	9.5	-
	2018-02-01	46	17	31.5	1.8	33	0	T	T	0
	2018-02-02	22	11	16.5	-13.4	48	0	T	T	0
	2018-02-03	38	14	26.0	-4.0	39	0	T	T	0
	2018-02-04	41	21	31.0	0.8	34	0	0.15	0.8	T
	2018-02-05	23	10	16.5	-13.8	48	0	T	T	T
	2018-02-06	29	23	26.0	-4.5	39	0	0.01	0.1	T
	2018-02-07	29	13	21.0	-9.7	44	0	0.44	4.4	4
	2018-02-08	25	16	20.5	-10.4	44	0	T	T	3
	2018-02-09	41	25	33.0	2.0	32	0	0.00	0.0	3
	2018-02-10	42	31	36.5	5.2	28	0	0.10	0.0	1
	2018-02-11	40	29	34.5	3.0	30	0	0.22	T	T
	2018-02-12	36	23	29.5	-2.2	35	0	0.00	0.0	0
	2018-02-13	40	21	30.5	-1.4	34	0	0.00	0.0	0
	2018-02-14	57	32	44.5	12.3	20	0	0.29	0.0	0
	2018-02-15	66	55	60.5	28.1	4	0	0.76	0.0	0
	2018-02-16	58	33	45.5	12.9	19	0	0.53	0.0	0
	2018-02-17	35	30	32.5	-0.4	32	0	0.15	0.7	0
	2018-02-18	44	33	38.5	5.3	26	0	0.00	0.0	0
	2018-02-19	69	37	53.0	19.6	12	0	0.36	0.0	0
	2018-02-20	77	60	68.5	34.8	0	4	0.00	0.0	0
	2018-02-21	68	39	53.5	19.5	11	0	0.12	0.0	0
	2018-02-22	48	37	42.5	8.2	22	0	0.41	0.0	0
	2018-02-23	63	43	53.0	18.4	12	0	0.30	0.0	0
	2018-02-24	52	47	49.5	14.6	15	0	1.23	0.0	0
	2018-02-25	60	41	50.5	15.4	14	0	0.18	0.0	0
	2018-02-26	54	32	43.0	7.6	22	0	0.00	0.0	0
	2018-02-27	59	30	44.5	8.7	20	0	0.00	0.0	0
	2018-02-28	63	45	54.0	17.9	11	0	0.00	0.0	0
	Sum	1325	848	-	-	728	4	5.25	6.0	-
	Average	47.3	30.3	38.8	6.3	-	-	-	-	0.4
	Normal	40.8	24.2	32.5	-	910	0	2.41	7.6	-
	2018-03-01	58	35	46.5	10.1	18	0	0.83	T	0
	2018-03-02	42	30	36.0	-0.7	29	0	T	T	0
	2018-03-03	45	25	35.0	-2.0	30	0	0.00	0.0	0
	2018-03-04	48	25	36.5	-0.8	28	0	0.00	0.0	0
	2018-03-05	45	27	36.0	-1.7	29	0	T	0.0	0
	2018-03-06	57	37	47.0	9.0	18	0	T	T	0
	2018-03-07	40	29	34.5	-3.8	30	0	T	T	0
	2018-03-08	33	26	29.5	-9.1	35	0	0.02	0.7	1
	2018-03-09	39	27	33.0	-6.0	32	0	0.01	0.2	T
	2018-03-10	45	20	32.5	-6.8	32	0	0.00	0.0	0
	2018-03-11	45	23	34.0	-5.7	31	0	0.00	0.0	0
	2018-03-12	44	26	35.0	-5.0	30	0	T	T	0
	2018-03-13	40	24	32.0	-8.4	33	0	0.04	0.6	0
	2018-03-14	38	25	31.5	-9.2	33	0	T	0.1	1
	2018-03-15	50	29	39.5	-1.6	25	0	0.00	0.0	0
	2018-03-16	43	22	32.5	-8.9	32	0	T	T	0
	2018-03-17	46	27	36.5	-5.3	28	0	0.03	0.2	0
	2018-03-18	56	22	39.0	-3.2	26	0	0.00	0.0	0
	2018-03-19	61	30	45.5	3.0	19	0	0.00	0.0	0
	2018-03-20	42	33	37.5	-5.4	27	0	0.19	0.5	0
	2018-03-21	36	31	33.5	-9.8	31	0	0.08	0.9	1
	2018-03-22	45	30	37.5	-6.1	27	0	0.00	0.0	T
	2018-03-23	47	26	36.5	-7.5	28	0	0.00	0.0	0
	2018-03-24	43	25	34.0	-10.4	31	0	0.00	0.0	0
	2018-03-25	46	26	36.0	-8.8	29	0	0.00	0.0	0
	2018-03-26	58	34	46.0	0.8	19	0	0.00	0.0	0
	2018-03-27	54	43	48.5	2.9	16	0	0.40	0.0	0
	2018-03-28	57	51	54.0	8.0	11	0	0.43	0.0	0
	2018-03-29	61	43	52.0	5.6	13	0	0.67	0.0	0
	2018-03-30	50	36	43.0	-3.7	22	0	0.26	0.0	0
	2018-03-31	57	31	44.0	-3.1	21	0	T	0.0	0
	Sum	1471	918	-	-	813	0	2.96	3.2	-
	Average	47.5	29.6	38.5	-3.1	-	-	-	-	0.1
	Normal	51.1	32.0	41.6	-	728	2	3.62	4.1	-
	2018-04-01	51	33	42.0	-5.5	23	0	0.10	0.9	0
	2018-04-02	45	31	38.0	-9.9	27	0	0.04	0.5	1
	2018-04-03	62	42	52.0	3.7	13	0	1.95	0.0	0
	2018-04-04	62	32	47.0	-1.7	18	0	0.06	T	0
	2018-04-05	48	30	39.0	-10.1	26	0	T	T	0
	2018-04-06	58	29	43.5	-6.0	21	0	0.18	0.6	0
	2018-04-07	42	28	35.0	-14.9	30	0	T	0.1	1
	2018-04-08	43	25	34.0	-16.3	31	0	0.00	0.0	0
	2018-04-09	38	30	34.0	-16.7	31	0	0.02	0.2	0
	2018-04-10	45	28	36.5	-14.6	28	0	0.00	0.0	0
	2018-04-11	62	32	47.0	-4.5	18	0	0.00	0.0	0
	2018-04-12	79	53	66.0	14.1	0	1	T	0.0	0
	2018-04-13	82	63	72.5	20.2	0	8	0.00	0.0	0
	2018-04-14	75	47	61.0	8.3	4	0	0.13	0.0	0
	2018-04-15	61	46	53.5	0.4	11	0	2.06	0.0	0
	2018-04-16	46	33	39.5	-14.0	25	0	0.01	T	0
	2018-04-17	37	31	34.0	-19.8	31	0	0.01	0.3	0
	2018-04-18	57	27	42.0	-12.2	23	0	0.23	0.0	0
	2018-04-19	52	35	43.5	-11.1	21	0	0.03	0.3	0
	2018-04-20	58	31	44.5	-10.4	20	0	0.00	0.0	0
	2018-04-21	60	30	45.0	-10.3	20	0	0.00	0.0	0
	2018-04-22	69	45	57.0	1.3	8	0	0.00	0.0	0
	2018-04-23	70	50	60.0	4.0	5	0	0.14	0.0	0
	2018-04-24	56	52	54.0	-2.4	11	0	0.27	0.0	0
	2018-04-25	62	49	55.5	-1.2	9	0	T	0.0	0
	2018-04-26	67	41	54.0	-3.1	11	0	0.00	0.0	0
	2018-04-27	71	46	58.5	1.1	6	0	T	0.0	0
	2018-04-28	53	36	44.5	-13.2	20	0	T	0.0	0
	2018-04-29	58	34	46.0	-12.1	19	0	0.00	0.0	0
	2018-04-30	70	35	52.5	-5.9	12	0	0.00	0.0	0
